"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:44:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",246834.175974121,419525.852716405,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:51:00,"NORTHERN DIVISION","MID & EAST ANTRIM",339947.00819689,402749.777503275,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 11:10:00,"NORTHERN DIVISION","MID & EAST ANTRIM",339939.101723455,402785.414388581,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 11:18:46,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",334194.44320278,382040.14820876,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 11:43:00,"NORTHERN DIVISION","MID & EAST ANTRIM",300034.457790213,413655.450190357,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 11:54:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",359063.630268593,379528.313584274,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 12:09:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",233680.064550768,392080.767544781,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 12:20:33,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332535.64405594,383831.66375606,"Enquiries In Progress"
"Pothole","Call Centre Public Enquiry",05/04/2016 12:40:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",301625.993529179,441300.549589649,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 12:46:00,"EASTERN DIVISION","BELFAST NORTH",332251.971510712,375563.706337962,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 12:52:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",261521.630007195,381735.072547476,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 13:26:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",308264.829267698,329796.119165665,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 13:28:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",256506.671441744,376344.437579695,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 13:32:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",285002.996226972,341266.450409947,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 13:39:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",337197.940392236,360053.825587751,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 13:43:00,"EASTERN DIVISION","BELFAST NORTH",328632.66190156,370820.41938836,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 14:03:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",280355.963223097,348494.328686725,"Enquiries In Progress"
"Pothole","Call Centre Public Enquiry",05/04/2016 14:05:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",280020.495581699,338753.64573377,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 14:14:00,"WESTERN DIVISION","MID ULSTER (NORTH)",291229.689399714,371046.169812443,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 14:24:00,"NORTHERN DIVISION","MID & EAST ANTRIM",314946.139967734,401855.955202254,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 14:30:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",294932.700509698,426508.783107991,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 15:26:49,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332521.15625,383691.34375,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 15:31:00,"EASTERN DIVISION","BELFAST NORTH",328504.132039493,369872.833114275,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 15:32:00,"WESTERN DIVISION","MID ULSTER (NORTH)",285641.371215874,383619.639978955,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 15:33:53,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",300365.15753729,322823.93731581,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 15:36:14,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",334160.00922542,382198.69473934,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 15:43:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",350003.461981743,377586.317946448,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 16:03:00,"WESTERN DIVISION","MID ULSTER (NORTH)",291551.80473975,372063.88871257,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 16:14:54,"WESTERN DIVISION","MID ULSTER (NORTH)",285632.10191773,383622.08895745,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 16:31:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",234571.86794994,364254.885885532,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 16:41:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",293832.893767694,340650.4548297,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 16:44:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",300275.294248476,322765.242765098,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 17:40:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",332958.91538251,349010.56361522,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 18:15:00,"EASTERN DIVISION","BELFAST NORTH",331202.372396985,375544.463404765,"Completed Enquiries"
