scenario,threshold,n,actual_positives,flagged_n,flagged_rate,tp,fp,fn,precision,recall,f1,incremental_fast_repair_cost,avoided_repeat_cost,effectiveness,gross_benefit,intervention_cost,net_value,net_value_per_flagged,break_even_avoided_cost,break_even_avoided_cost_multiple
moderate_deterioration,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,125.0,272.8,0.6,3264597.6,3530875.0,-266277.3999999999,-9.426749743335572,295.0509735104872,2.3604077880838976
large_patch_premium,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,300.0,579.8,0.6,6938466.6,8474100.0,-1535633.4000000004,-54.36447764364359,708.1223364251694,2.3604077880838976
medium_patch_full_cost_not_incremental,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,1328.0,579.8,0.6,6938466.6,37512016.0,-30573549.4,-1082.3644776436436,3134.6215425754162,2.3604077880838976
direct_repeat_only_low_increment,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,30.86,87.8,0.5,814037.7,793534.04,20503.659999999916,0.7973734152601663,85.58852828560642,2.773445505042334
direct_repeat_only_high_effect,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,30.86,87.8,0.75,1221056.55,793534.04,427522.51,16.626060122890255,57.059018857070946,1.8489636700282226
ops_admin_low_claim,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,75.0,155.3,0.6,1727836.74,1928550.0,-200713.26,-7.805602395582174,173.34034406514587,2.3112045875352782
moderate_deterioration,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,125.0,272.8,0.6,3035118.2399999998,3214250.0,-179131.76000000024,-6.966312514583505,288.9005734419098,2.3112045875352782
large_patch_premium,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,300.0,579.8,0.6,6450738.839999999,7714200.0,-1263461.160000001,-49.135146612740186,693.3613762605835,2.3112045875352782
medium_patch_full_cost_not_incremental,0.425,49360,28081,25714,0.5209481361426256,18543,7171,9538,0.7211246791631019,0.6603397314910437,0.68939492517892,1328.0,579.8,0.6,6450738.839999999,34148192.0,-27697453.16,-1077.13514661274,3069.2796922468497,2.3112045875352782
direct_repeat_only_low_increment,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,30.86,87.8,0.5,752665.5,719038.0,33627.5,1.4432403433476395,83.87728200641587,2.7179935841353164
direct_repeat_only_high_effect,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,30.86,87.8,0.75,1128998.25,719038.0,409960.25,17.59486051502146,55.91818800427724,1.8119957227568775
ops_admin_low_claim,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,75.0,155.3,0.6,1597571.1,1747500.0,-149928.8999999999,-6.434716738197421,169.87459900845727,2.264994653446097
moderate_deterioration,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,125.0,272.8,0.6,2806293.6,2912500.0,-106206.3999999999,-4.558214592274674,283.1243316807621,2.264994653446097
large_patch_premium,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,300.0,579.8,0.6,5964402.6,6990000.0,-1025597.4000000004,-44.01705579399143,679.4983960338291,2.264994653446097
medium_patch_full_cost_not_incremental,0.45,49360,28081,23300,0.4720421393841167,17145,6155,10936,0.7358369098712446,0.6105551796588441,0.6673673147661586,1328.0,579.8,0.6,5964402.6,30942400.0,-24977997.4,-1072.0170557939914,3007.912899776417,2.264994653446097
direct_repeat_only_low_increment,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,30.86,87.8,0.5,689493.4,647658.82,41834.580000000075,1.993356839948543,82.47279001655419,2.672481854068509
direct_repeat_only_high_effect,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,30.86,87.8,0.75,1034240.1,647658.82,386581.28,18.42003525992281,54.98186001103612,1.7816545693790058
ops_admin_low_claim,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,75.0,155.3,0.6,1463485.08,1574025.0,-110539.91999999993,-5.267066279125169,167.0301158792818,2.2270682117237572
moderate_deterioration,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,125.0,272.8,0.6,2570758.08,2623375.0,-52616.919999999925,-2.507119645494827,278.3835264654697,2.2270682117237572
large_patch_premium,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,300.0,579.8,0.6,5463803.279999999,6296100.0,-832296.7200000007,-39.65772716443516,668.1204635171272,2.2270682117237572
medium_patch_full_cost_not_incremental,0.475,49360,28081,20987,0.42518233387358184,15706,5281,12375,0.7483680373564587,0.5593105658630391,0.6401728213907231,1328.0,579.8,0.6,5463803.279999999,27870736.0,-22406932.72,-1067.657727164435,2957.5465851691497,2.2270682117237572
direct_repeat_only_low_increment,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,30.86,87.8,0.5,631501.5,583963.78,47537.71999999997,2.512166147016856,81.19065415363225,2.6309350017379214
direct_repeat_only_high_effect,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,30.86,87.8,0.75,947252.25,583963.78,363288.47,19.198249220525284,54.12710276908816,1.7539566678252807
ops_admin_low_claim,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,75.0,155.3,0.6,1340394.3,1419225.0,-78830.69999999995,-4.16586693441843,164.43343760862007,2.192445834781601
moderate_deterioration,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,125.0,272.8,0.6,2354536.8000000003,2365375.0,-10838.19999999972,-0.5727527347671998,274.05572934770015,2.192445834781601
large_patch_premium,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,300.0,579.8,0.6,5004253.8,5676900.0,-672646.2000000002,-35.54648840035936,657.7337504344803,2.192445834781601
medium_patch_full_cost_not_incremental,0.5,49360,28081,18923,0.3833670988654781,14385,4538,13696,0.7601860170163294,0.5122680816210249,0.6120755680367629,1328.0,579.8,0.6,5004253.8,25129744.0,-20125490.2,-1063.5464884003593,2911.568068589966,2.192445834781601
direct_repeat_only_low_increment,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,30.86,87.8,0.5,574782.7,523478.18,51304.51999999996,3.024495667040026,79.96306117772856,2.5911555793171925
direct_repeat_only_high_effect,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,30.86,87.8,0.75,862174.0499999999,523478.18,338695.86999999994,19.96674350056004,53.30870745181904,1.7274370528781284
ops_admin_low_claim,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,75.0,155.3,0.6,1220005.74,1272225.0,-52219.26000000001,-3.0784212698225555,161.94722370732453,2.1592963160976604
moderate_deterioration,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,125.0,272.8,0.6,2143062.2399999998,2120375.0,22687.239999999758,1.3374544597064055,269.91203951220757,2.1592963160976604
large_patch_premium,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,300.0,579.8,0.6,4554792.839999999,5088900.0,-534107.1600000011,-31.486597889524322,647.7888948292981,2.1592963160976604
medium_patch_full_cost_not_incremental,0.525,49360,28081,16963,0.3436588330632091,13093,3870,14988,0.7718563933266521,0.4662583241337559,0.581342687150342,1328.0,579.8,0.6,4554792.839999999,22526864.0,-17972071.16,-1059.4865978895243,2867.545507777693,2.1592963160976604
direct_repeat_only_low_increment,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,30.86,87.8,0.5,518722.39999999997,465615.68,53106.71999999997,3.5197985153764564,78.81104942450915,2.5538253215978335
direct_repeat_only_high_effect,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,30.86,87.8,0.75,778083.6,465615.68,312467.92,20.709697773064686,52.54069961633943,1.7025502143985558
ops_admin_low_claim,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,75.0,155.3,0.6,1101014.88,1131600.0,-30585.12000000011,-2.0271155885471974,159.61408259986462,2.128187767998195
moderate_deterioration,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,125.0,272.8,0.6,1934042.88,1886000.0,48042.87999999989,3.184178154825019,266.02347099977436,2.128187767998195
large_patch_premium,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,300.0,579.8,0.6,4110550.079999999,4526400.0,-415849.92000000086,-27.561633085896133,638.4563303994585,2.128187767998195
medium_patch_full_cost_not_incremental,0.55,49360,28081,15088,0.30567260940032415,11816,3272,16265,0.7831389183457051,0.4207827356575621,0.5474298686557483,1328.0,579.8,0.6,4110550.079999999,20036864.0,-15926313.920000002,-1055.5616330858961,2826.233355901603,2.128187767998195
direct_repeat_only_low_increment,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,30.86,87.8,0.5,463627.89999999997,410561.44,53066.45999999996,3.9887597714972913,77.75048574945555,2.519458384622668
direct_repeat_only_high_effect,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,30.86,87.8,0.75,695441.85,410561.44,284880.41,21.41313965724594,51.833657166303695,1.679638923081779
ops_admin_low_claim,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,75.0,155.3,0.6,984073.98,997800.0,-13726.020000000019,-1.0317212868310297,157.46614903891677,2.099548653852224
moderate_deterioration,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,125.0,272.8,0.6,1728624.48,1663000.0,65624.47999999998,4.9326879134095,262.44358173152796,2.099548653852224
large_patch_premium,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,300.0,579.8,0.6,3673960.6799999992,3991200.0,-317239.32000000076,-23.84540889957913,629.8645961556671,2.099548653852224
medium_patch_full_cost_not_incremental,0.575,49360,28081,13304,0.26952998379254456,10561,2743,17520,0.7938214070956103,0.37609059506427833,0.5103781563368369,1328.0,579.8,0.6,3673960.6799999992,17667712.0,-13993751.32,-1051.845408899579,2788.200612315753,2.099548653852224
direct_repeat_only_low_increment,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,30.86,87.8,0.5,407567.6,356402.14,51165.45999999996,4.430293531907521,76.77771219302025,2.487936234381732
direct_repeat_only_high_effect,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,30.86,87.8,0.75,611351.4,356402.14,254949.26,22.075440297861288,51.1851414620135,1.6586241562544881
ops_admin_low_claim,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,75.0,155.3,0.6,865083.12,866175.0,-1091.8800000000047,-0.09454325049787901,155.49601464885828,2.07328019531811
moderate_deterioration,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,125.0,272.8,0.6,1519605.1199999999,1443625.0,75980.11999999988,6.578934972724901,259.16002441476377,2.07328019531811
large_patch_premium,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,300.0,579.8,0.6,3229717.9199999995,3464700.0,-234982.08000000054,-20.34653043553559,621.9840585954331,2.07328019531811
medium_patch_full_cost_not_incremental,0.6,49360,28081,11549,0.23397487844408427,9284,2265,18797,0.8038791237336566,0.33061500658808446,0.46853393893515005,1328.0,579.8,0.6,3229717.9199999995,15337072.0,-12107354.08,-1048.3465304355354,2753.3160993824504,2.07328019531811
direct_repeat_only_low_increment,0.625,49360,28081,9939,0.20135737439222043,8099,1840,19982,0.8148707113391689,0.2884156547131512,0.4260389268805891,30.86,87.8,0.5,355546.1,306717.54,48828.56,4.912824227789516,75.74207679960489,2.454377083590567
direct_repeat_only_high_effect,0.625,49360,28081,9939,0.20135737439222043,8099,1840,19982,0.8148707113391689,0.2884156547131512,0.4260389268805891,30.86,87.8,0.75,533319.15,306717.54,226601.61000000004,22.799236341684278,50.49471786640326,1.6362513890603778
